accession	taxid	organism	
KX360136.1	1923960	Nematocida sp. GZ-2016a	
KX360135.1	1923960	Nematocida sp. GZ-2016a	
KX360134.1	1923960	Nematocida sp. GZ-2016a	
KX360133.1	1923975	Pancytospora philotis	
KX360132.1	1923975	Pancytospora philotis	
KX360130.1	1923975	Pancytospora philotis	
KX352733.1	586133	Nematocida parisii	
KX352732.1	586133	Nematocida parisii	
KX352731.1	586133	Nematocida parisii	
KX352730.1	586133	Nematocida parisii	
KX352729.1	586133	Nematocida parisii	
KX352728.1	586133	Nematocida parisii	
KX352727.1	586133	Nematocida parisii	
KX352726.1	586133	Nematocida parisii	
KX352725.1	586133	Nematocida parisii	
KR704648.1	1929978	Rugispora istanbulensis	
KY041888.1	1927920	Nematocida sp.	
KY041887.1	586133	Nematocida parisii	
KY041886.1	586133	Nematocida parisii	
KY041885.1	586133	Nematocida parisii	
KY041884.1	586133	Nematocida parisii	
KY041883.1	586133	Nematocida parisii	
KY041882.1	586133	Nematocida parisii	
KY041881.1	586133	Nematocida parisii	
KX364285.1	1911465	Unikaryon legeri	
KX364284.1	1911463	Hyperspora aquatica	
KX214678.1	1892431	uncultured Metchnikovellidae	
KX214677.1	1892498	Amphiacantha sp. ex Lecudina cf. longissima	
KX214676.1	1892497	Amphiacantha sp. ex Lecudina cf. elongata	
KU577431.1	1807214	Glugea sp. LM-2016	
KP825331.1	1643297	Perezia sp. 06-324	
KU302797.1	1850277	Microsporidia sp. PP5.4	
KU187950.1	1841581	Nosema sp. MIJ-4cD	
KU187949.1	1841580	Nosema sp. MIJ-2pD	
KR187185.1	723276	Paranucleospora theridion	
KR187184.1	723276	Paranucleospora theridion	
KR187183.1	723276	Paranucleospora theridion	
KU363832.1	1830230	Glugea sp. GC_2015	
KR612229.1	27973	Encephalitozoon hellem	
KT380108.1	1795376	Microsporidia sp. HM2	
KT380107.1	1795375	Microsporidia sp. HM1	
KT380106.1	1795374	Microsporidia sp. HE1	
KT934810.1	103443	Loma acerinae	
